Nombre,Pais,Tipo,Codigo,LatLon,Lat,Lon
Haití,Haití,pais,Haití,"19.1399952,-72.3570972",19.1399952,-72.3570972
México,México,pais,México,"19.4325301,-99.1332102",19.4325301,-99.1332102
Colombia,Colombia,pais,Colombia,"2.8930783,-73.7845072",2.8930783,-73.7845072
Cuba,Cuba,pais,Cuba,"23.0131338,-80.8328748",23.0131338,-80.8328748
Venezuela,Venezuela,pais,Venezuela,"8.0018709,-66.1109318",8.0018709,-66.1109318
Panama,Panama,pais,Panama,"8.3096067,-81.3066246",8.3096067,-81.3066246
Mundo,Mundo,area,Mundo,"15.400986, -45.974596",15.400986,-45.974596
Cochabamba,Bolivia,ciudad,"Cochabamba, Bolivia","-17.3935419,-66.1570139",-17.3935419,-66.1570139
Minas,Brasil,ciudad,"Minas, Brasil","-20.39130615,-43.43866764",-20.39130615,-43.43866764
Caribbean,Caribbean,area,Caribbean,"15.0000001,-75.0000001",15.0000001,-75.0000001
Caribe,Caribe,area,Caribe,"15.0000001,-75.0000001",15.0000001,-75.0000001
Jamaica,Jamaica,pais,Jamaica,"18.1850507,-77.3947693",18.1850507,-77.3947693
Panamá,Panamá,pais,Panamá,"8.3096067,-81.3066246",8.3096067,-81.3066246
Puerto Rico,Puerto Rico,pais,Puerto Rico,"18.2017809,-66.5841246",18.2017809,-66.5841246
Ciudad Juarez,Mexico,pais,"Ciudad Juarez, Mexico","31.7377426,-106.4835192",31.7377426,-106.4835192
